,Exp,Model,Loss,AUROC,AUPR,Accuracy,Dir
30,TARDBP_K562_200.h5,baseline_cnn,0.12394100427627563,0.9907220602035522,0.9887977242469788,0.9603633284568787,/home/pgarcia/rbp_project/data/TARDBP_K562_200.h5
31,TARDBP_K562_200.h5,baseline_cnn_exp,0.11042603105306625,0.991672694683075,0.9923218488693237,0.9636663794517517,/home/pgarcia/rbp_project/data/TARDBP_K562_200.h5
32,TIA1_K562_200.h5,deepbind,0.3842872381210327,0.9116782546043396,0.9043445587158203,0.8331030607223511,/home/pgarcia/rbp_project/data/TIA1_K562_200.h5
33,TIA1_K562_200.h5,deepbind_exp,0.4183937609195709,0.9043605327606201,0.8996642827987671,0.8261950612068176,/home/pgarcia/rbp_project/data/TIA1_K562_200.h5
34,TIA1_K562_200.h5,baseline_cnn,0.4147050380706787,0.8998535871505737,0.8883965015411377,0.8206686973571777,/home/pgarcia/rbp_project/data/TIA1_K562_200.h5
35,TIA1_K562_200.h5,baseline_cnn_exp,0.3913957178592682,0.9068980813026428,0.9029644727706909,0.8270240426063538,/home/pgarcia/rbp_project/data/TIA1_K562_200.h5
36,U2AF1_K562_200.h5,deepbind,0.47423890233039856,0.9221769571304321,0.9181108474731445,0.8482142686843872,/home/pgarcia/rbp_project/data/U2AF1_K562_200.h5
37,U2AF1_K562_200.h5,deepbind_exp,0.6884499788284302,0.9082598090171814,0.8884197473526001,0.8467261791229248,/home/pgarcia/rbp_project/data/U2AF1_K562_200.h5
38,U2AF1_K562_200.h5,baseline_cnn,0.45207589864730835,0.9187363982200623,0.9302898049354553,0.8303571343421936,/home/pgarcia/rbp_project/data/U2AF1_K562_200.h5
39,U2AF1_K562_200.h5,baseline_cnn_exp,0.3857012689113617,0.9282642006874084,0.9286110997200012,0.8392857313156128,/home/pgarcia/rbp_project/data/U2AF1_K562_200.h5
